id,form_id,variable_type_id,source,descriptor
ALCFREQ,A5,O,v3,"During the past three months, how often did the subject have at least one drink of any alcoholic beverage such as wine, beer, malt liquor, or spirits?"
CVHATT,A5,O,v1-3,Heart attack/cardiac arrest
HATTMULT,A5,O,v3,More than one heart attack/cardiac arrest?
HATTYEAR,A5,O,v3,Year of most recent heart attack
CVAFIB,A5,O,v1-3,Atrial fibrillation
CVANGIO,A5,O,v1-3,Angioplasty/endarterectomy/stent
CVBYPASS,A5,O,v1-3,Cardiac bypass procedure
CVPACDEF,A5,O,v3,Pacemaker and/or defibrillator
CVPACE,A5,O,v1-2,Pacemaker
CVCHF,A5,O,v1-3,Congestive heart failure
CVANGINA,A5,O,v3,Angina
CVHVALVE,A5,O,v3,Heart valve replacement or repair
CVOTHR,A5,O,v1-3,Other cardiovascular disease
CVOTHRX,A5,O,v3,Specification for other cardiovascular disease
CBSTROKE,A5,O,v1-3,Stroke
STROKMUL,A5,O,v3,More than one stroke reported as of the Initial Visit
NACCSTYR,A5,D,v1-3,Most recently reported year of stroke as of the Initial Visit
CBTIA,A5,O,v1-3,Transient ischemic attack (TIA)
TIAMULT,A5,O,v3,More than one TIA reported as of the Initial Visit
NACCTIYR,A5,D,v1-3,Most recently reported year of TIA as of the Initial Visit
PD,A5,O,v1-3,Parkinson's disease (PD)
PDYR,A5,O,v1-3,Year of PD diagnosis
PDOTHR,A5,O,v1-3,Other parkinsonian disorder
PDOTHRYR,A5,O,v1-3,Year of parkinsonian disorder diagnosis
SEIZURES,A5,O,v1-3,Seizures
TBI,A5,O,v3,Traumatic brain injury (TBI)
TBIBRIEF,A5,O,v3,Traumatic brain injury (TBI) with brief loss of consciousness
TRAUMBRF,A5,O,v1-2,brain trauma - brief unconsciousness
TBIEXTEN,A5,O,v3,TBI with extended loss of consciousness - 5 minutes of longer
TRAUMEXT,A5,O,v1-2,brain trauma - extended unconsciousness
TBIWOLOS,A5,O,v3,TBI without loss of consciousness - as might result from military detonations or sports injury
TRAUMCHR,A5,O,v1-2,brain trauma - chronic deficit
TBIYEAR,A5,O,v3,Year of most recent TBI
NCOTHR,A5,O,v1-2,Other neurological condition
NCOTHRX,A5,O,v1-2,Other neurological condition (specify)
DIABETES,A5,O,v1-3,Diabetes
DIABTYPE,A5,O,v3,"If Recent/active or Remote/inactive diabetes, which type?"
HYPERTEN,A5,O,v1-3,Hypertension
HYPERCHO,A5,O,v1-3,Hypercholesterolemia
B12DEF,A5,O,v1-3,Vitamin b12 deficiency
THYROID,A5,O,v1-3,Thyroid disease
ARTHRIT,A5,O,v3,Arthritis
ARTHTYPE,A5,O,v3,Type of arthritis
ARTHTYPX,A5,O,v3,Other arthritis (specify)
ARTHUPEX,A5,O,v3,"Arthritis, region affected - upper extremity"
ARTHLOEX,A5,O,v3,"Arthritis, region affected - lower extremity"
ARTHSPIN,A5,O,v3,"Arthritis, region affected - spine"
ARTHUNK,A5,O,v3,Region affected - unknown
INCONTU,A5,O,v1-3,Incontinence - urinary
INCONTF,A5,O,v1-3,Incontinence - bowel
APNEA,A5,O,v3,Sleep apnea history reported at Initial Visit
RBD,A5,O,v3,REM sleep behavior disorder (RBD) history reported at Initial Visit
INSOMN,A5,O,v3,Hyposomnia/insomnia history reported at Initial Visit
OTHSLEEP,A5,O,v3,Other sleep disorder history reported at Initial Visit
OTHSLEEX,A5,O,v3,Other sleep disorder (specify)
ALCOHOL,A5,O,v1-3,"Alcohol abuse - clinically significant occurring over a 12-month period manifested in one of the following areas: work, driving, legal, or social"
ABUSOTHR,A5,O,v1-3,"Other abused substances - clinically significant impairment occurring over a 12-month period manifested in one of the following areas: work, driving, legal, or social"
ABUSX,A5,O,v1-3,"If reported other abused substances, specify abused substance(s)"
PTSD,A5,O,v3,Post-traumatic stress disorder (PTSD)
BIPOLAR,A5,O,v3,bipolar disorder
SCHIZ,A5,O,v3,Schizophrenia
DEP2YRS,A5,O,v1-3,Active depression in the last two years
DEPOTHR,A5,O,v1-3,Depression episodes more than two years ago
ANXIETY,A5,O,v3,Anxiety
OCD,A5,O,v3,Obsessive-compulsive disorder (OCD)
NPSYDEV,A5,O,v3,"Developmental neuropsychiatric disorders (e.g., autism spectrum disorder [ASD], attention-deficit hyperactivity disorder [ADHD], dyslexia)"
PSYCDIS,A5,O,v1-3,Other psychiatric disorder
PSYCDISX,A5,O,v1-3,"If recent/active or remote/inactive psychiatric disorder, specify disorder"
NACCTBI,A5,D,v1-3,History of traumatic brain injury (TBI)
HEIGHT,B1,O,v1-3,Subject's height (inches)
WEIGHT,B1,O,v1-3,Subject's weight (lbs)
NACCBMI,B1,D,v1-3,body mass index (BMI)
BPSYS,B1,O,v1-3,"Subject blood pressure (sitting), systolic"
BPDIAS,B1,O,v1-3,"Subject blood pressure (sitting), diastolic"
HRATE,B1,O,v1-3,Subject resting heart rate (pulse)
VISION,B1,O,v1-3,"Without corrective lenses, is the subject's vision functionally normal?"
VISCORR,B1,O,v1-3,Does the subject usually wear corrective lenses?
VISWCORR,B1,O,v1-3,"If the subject usually wears corrective lenses, is the subject's vision functionally normal with corrective lenses?"
HEARING,B1,O,v1-3,"Without a hearing aid(s), is the subject's hearing functionally normal?"
HEARAID,B1,O,v1-3,Does the subject usually wear a hearing aid(s)?
HEARWAID,B1,O,v1-3,"If the subject usually wears a hearing aid(s), is the subject's hearing functionally normal with a hearing aid(s)?"
BPSYSL,B1,O,v3,"Participant systolic blood pressure, left arm"
BPDIASL,B1,O,v3,"Participant diastolic blood pressure, left arm"
BPSYSR,B1,O,v3,"Participant systolic blood pressure, right arm"
BPDIASR,B1,O,v3,"Participant diastolic blood pressure, right arm"
BPDEVICE,B1,O,v3,Taken using an approved device or cuff?
ABRUPT,B2,O,v1-2,Abrupt onset (re: cognitive status)
STEPWISE,B2,O,v1-2,Stepwise deterioration (re: cognitive status)
SOMATIC,B2,O,v1-2,Somatic complaints
EMOT,B2,O,v1-2,Emotional incontinence
HXHYPER,B2,O,v1-2,History or presence of hypertension
HXSTROKE,B2,O,v1-2,History of stroke
FOCLSYM,B2,O,v1-2,Focal neurological symptoms
FOCLSIGN,B2,O,v1-2,Focal neurological signs
HACHIN,B2,O,v1-2,Hachinski ischemic score
CVDCOG,B2,O,v2,Cerebrovascular disease contributing to cognitive impairment
STROKCOG,B2,O,v2,Relationship between stroke and cognitive impairment
CVDIMAG,B2,O,v2,Imaging evidence
CVDIMAG1,B2,O,v2,Single strategic infarct
CVDIMAG2,B2,O,v2,Multiple infarcts
CVDIMAG3,B2,O,v2,Extensive white matter hyperintensity
CVDIMAG4,B2,O,v2,Other imaging evidence
CVDIMAGX,B2,O,v2,Other imaging evidence - specify
PDNORMAL,B3,O,v1-2,UPDRS normal
SPEECH,B3,O,v1-2,Speech
SPEECHX,B3,O,v2,Speech; untestable - specify reason
FACEXP,B3,O,v1-2,Facial expression
FACEXPX,B3,O,v2,Facial expression; untestable - specify reason
TRESTFAC,B3,O,v1-2,"Tremor at rest - face, lips, chin"
TRESTFAX,B3,O,v2,"Tremor at rest - face, lips, chin; untestable - specify reason"
TRESTRHD,B3,O,v1-2,Tremor at rest - right hand
TRESTRHX,B3,O,v2,Tremor at rest - right hand; untestable - specify reason
TRESTLHD,B3,O,v1-2,Tremor at rest - left hand
TRESTLHX,B3,O,v2,Tremor at rest - left hand; untestable - specify reason
TRESTRFT,B3,O,v1-2,Tremor at rest - right foot
TRESTRFX,B3,O,v2,Tremor at rest - right foot; untestable - specify reason
TRESTLFT,B3,O,v1-2,Tremor at rest - left foot
TRESTLFX,B3,O,v2,Tremor at rest - left foot; untestable - specify reason
TRACTRHD,B3,O,v1-2,Action or postural tremor - right hand
TRACTRHX,B3,O,v2,Action or postural tremor - right hand; untestable - specify reason
TRACTLHD,B3,O,v1-2,Action or postural tremor - left hand
TRACTLHX,B3,O,v2,Action or postural tremor - left hand; untestable - specify reason
RIGDNECK,B3,O,v1-2,Rigidity - neck
RIGDNEX,B3,O,v2,Rigidity - neck; untestable - specify reason
RIGDUPRT,B3,O,v1-2,Rigidity - right upper extremity
RIGDUPRX,B3,O,v2,Rigidity - right upper extremity; untestable - specify reason
RIGDUPLF,B3,O,v1-2,Rigidity - left upper extremity
RIGDUPLX,B3,O,v2,Rigidity - left upper extremity; untestable - specify reason
RIGDLORT,B3,O,v1-2,Rigidity - right lower extremity
RIGDLORX,B3,O,v2,Rigidity - right lower extremity; untestable - specify reason
RIGDLOLF,B3,O,v1-2,Rigidity - left lower extremity
RIGDLOLX,B3,O,v2,Rigidity - left lower extremity; untestable - specify reason
TAPSRT,B3,O,v1-2,Finger taps - right hand
TAPSRTX,B3,O,v1-2,Finger taps - right hand; untestable - specify reason
TAPSLF,B3,O,v1-2,Finger taps - left hand
TAPSLFX,B3,O,v1-2,Finger taps - left hand; untestable - specify reason
HANDMOVR,B3,O,v1-2,Hand movements - right hand
HANDMVRX,B3,O,v1-2,Hand movements - right hand; untestable - specify reason
HANDMOVL,B3,O,v1-2,Hand movements - left hand
HANDMVLX,B3,O,v1-2,Hand movements - left hand; untestable - specify reason
HANDALTR,B3,O,v1-2,Alternating movement - right hand
HANDATRX,B3,O,v1-2,Alternating movement - right hand; untestable - specify reason
HANDALTL,B3,O,v1-2,Alternating movement - left hand
HANDATLX,B3,O,v1-2,Alternating movement - left hand; untestable - specify reason
LEGRT,B3,O,v1-2,Leg agility - right leg
LEGRTX,B3,O,v1-2,Leg agility - right leg; untestable - specify reason
LEGLF,B3,O,v1-2,Leg agility - left leg
LEGLFX,B3,O,v1-2,Leg agility - left leg; untestable - specify reason
ARISING,B3,O,v1-2,Arising from chair
ARISINGX,B3,O,v1-2,Arising from chair; untestable - specify reason
POSTURE,B3,O,v1-2,Posture
POSTUREX,B3,O,v1-2,Posture; untestable - specify reason
GAIT,B3,O,v1-2,Gait
GAITX,B3,O,v1-2,Gait; untestable - specify reason
POSSTAB,B3,O,v1-2,Posture stability
POSSTABX,B3,O,v1-2,Posture stability; untestable - specify reason
BRADYKIN,B3,O,v1-2,body bradykinesia and hypokinesia
BRADYKIX,B3,O,v2,body bradykinesia and hypokinesia; untestable - specify reason
MEMORY,B4,O,v1-3,Memory
ORIENT,B4,O,v1-3,Orientation
JUDGMENT,B4,O,v1-3,Judgment and problem-solving
COMMUN,B4,O,v1-3,Community affairs
HOMEHOBB,B4,O,v1-3,Home and hobbies
PERSCARE,B4,O,v1-3,Personal care
CDRSUM,B4,O,v1-3,CDR® sum of boxes
CDRGLOB,B4,O,v1-3,Global CDR®
COMPORT,B4,O,v2-3,"behavior, comportment, and personality"
CDRLANG,B4,O,v2-3,Language
NPIQINF,B5,O,v1-3,NPI-Q co-participant
NPIQINFX,B5,O,v1-3,"NPI-Q co-participant, other - specify"
DEL,B5,O,v1-3,Delusions in the last month
DELSEV,B5,O,v1-3,Delusions severity
HALL,B5,O,v1-3,Hallucinations in the last month
HALLSEV,B5,O,v1-3,Hallucinations severity
AGIT,B5,O,v1-3,Agitation or aggression in the last month
AGITSEV,B5,O,v1-3,Agitation or aggression severity
DEPD,B5,O,v1-3,Depression or dysphoria in the last month
DEPDSEV,B5,O,v1-3,Depression or dysphoria severity
ANX,B5,O,v1-3,Anxiety in the last month
ANXSEV,B5,O,v1-3,Anxiety severity
ELAT,B5,O,v1-3,Elation or euphoria in the last month
ELATSEV,B5,O,v1-3,Elation or euphoria severity
APA,B5,O,v1-3,Apathy or indifference in the last month
APASEV,B5,O,v1-3,Apathy or indifference severity
DISN,B5,O,v1-3,Disinhibition in the last month
DISNSEV,B5,O,v1-3,Disinhibition severity
IRR,B5,O,v1-3,Irritability or lability in the last month
IRRSEV,B5,O,v1-3,Irritability or lability severity
MOT,B5,O,v1-3,Motor disturbance in the last month
MOTSEV,B5,O,v1-3,Motor disturbance severity
NITE,B5,O,v1-3,Nighttime behaviors in the last month
NITESEV,B5,O,v1-3,Nighttime behaviors severity
APP,B5,O,v1-3,Appetite and eating problems in the last month
APPSEV,B5,O,v1-3,Appetite and eating severity
NOGDS,B6,O,v1-3,"Is the subject able to complete the GDS?"
SATIS,B6,O,v1-3,Are you basically satisfied with your life?
DROPACT,B6,O,v1-3,Have you dropped many of your activities and interests?
EMPTY,B6,O,v1-3,Do you feel that your life is empty?
BORED,B6,O,v1-3,Do you often get bored?
SPIRITS,B6,O,v1-3,Are you in good spirits most of the time?
AFRAID,B6,O,v1-3,Are you afraid that something bad is going to happen to you?
HAPPY,B6,O,v1-3,Do you feel happy most of the time?
HELPLESS,B6,O,v1-3,Do you often feel helpless?
STAYHOME,B6,O,v1-3,"Do you prefer to stay at home, rather than going out and doing new things?"
MEMPROB,B6,O,v1-3,Do you feel you have more problems with memory than most?
WONDRFUL,B6,O,v1-3,Do you think it is wonderful to be alive now?
WRTHLESS,B6,O,v1-3,Do you feel pretty worthless the way you are now?
ENERGY,B6,O,v1-3,Do you feel full of energy?
HOPELESS,B6,O,v1-3,Do you feel that your situation is hopeless?
BETTER,B6,O,v1-3,Do you think that most people are better off than you are?
NACCGDS,B6,D,v1-3,Total GDS Score
BILLS,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Writing checks, paying bills, or balancing a checkbook"
TAXES,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Assembling tax records, business affairs, or other paper"
SHOPPING,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Shopping alone for clothes, household necessities, or groceries"
GAMES,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Playing a game of skill such as bridge or chess, working on a hobby"
STOVE,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Heating water, making a cup of coffee, turning off the stove"
MEALPREP,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Preparing a balanced meal"
EVENTS,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Keeping track of current events"
PAYATTN,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Paying attention to and understanding a TV program, book, or magazine"
REMDATES,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Remembering appointments, family occasions, idays, medications"
TRAVEL,B7,O,v1-3,"In the past four weeks, did the subject have any difficulty or need help with: Traveling out of the neighborhood, driving, or arranging to take public transportation"
NACCNREX,B8,D,v1-3,Were all findings unremarkable?
NORMEXAM,B8,O,v3,Were there abnormal neurological exam findings?
FOCLDEF,B8,O,v1-2,Are focal deficits present indicative of central nervous system disorder?
GAITDIS,B8,O,v1-2,Is gait disorder present indicative of central nervous system disorder?
EYEMOVE,B8,O,v1-2,Are there eye movement abnormalities present indicative of central nervous system disorder?
PARKSIGN,B8,O,v3,Parkinsonian signs
RESTTRL,B8,O,v3,Resting tremor - left arm
RESTTRR,B8,O,v3,Resting tremor - right arm
SLOWINGL,B8,O,v3,Slowing of fine motor movements - left side
SLOWINGR,B8,O,v3,Slowing of fine motor movements - right side
RIGIDL,B8,O,v3,Rigidity - left arm
RIGIDR,B8,O,v3,Rigidity - right arm
BRADY,B8,O,v3,bradykinesia
PARKGAIT,B8,O,v3,Parkinsonian gait disorder
POSTINST,B8,O,v3,Postural instability
CVDSIGNS,B8,O,v3,Neurological sign considered by examiner to be most likely consistent with cerebrovascular disease
CORTDEF,B8,O,v3,"Cortical cognitive deficit (e.g., aphasia, apraxia, neglect)"
SIVDFIND,B8,O,v3,Focal or other neurological findings consistent with SIVD (subcortical ischemic vascular dementia)
CVDMOTL,B8,O,v3,"Motor (may include weakness of combination of face, arm, and leg; reflex changes, etc.) - left side"
CVDMOTR,B8,O,v3,"Motor (may include weakness of combination of face, arm, and leg; reflex changes, etc.) - right side"
CORTVISL,B8,O,v3,Cortical visual field loss - left side
CORTVISR,B8,O,v3,Cortical visual field loss - right side
SOMATL,B8,O,v3,Somatosensory loss - left side
SOMATR,B8,O,v3,Somatosensory loss - right side
POSTCORT,B8,O,v3,"Higher cortical visual problem suggesting posterior cortical atrophy (e.g., prosopagnosia, simultagnosia, balint's syndrome) or apraxia of gaze"
PSPCBS,B8,O,v3,"Findings suggestive of progressive supranuclear palsy (PSP), corticobasal syndrome (CBS), or other related disorders"
EYEPSP,B8,O,v3,Eye movement changes consistent with PSP
DYSPSP,B8,O,v3,Dysarthria consistent with PSP
AXIALPSP,B8,O,v3,Axial rigidity consistent with PSP
GAITPSP,B8,O,v3,Gait disorder consistent with PSP
APRAXSP,B8,O,v3,Apraxia of speech
APRAXL,B8,O,v3,Apraxia consistent with CBS - left side
APRAXR,B8,O,v3,Apraxia consistent with CBS - right side
CORTSENL,B8,O,v3,Cortical sensory deficits consistent with CBS - left side
CORTSENR,B8,O,v3,Cortical sensory deficits consistent with CBS - right side
ATAXL,B8,O,v3,Ataxia consistent with CBS - left side
ATAXR,B8,O,v3,Ataxia consistent with CBS - right side
ALIENLML,B8,O,v3,Alien limb consistent with CBS - left side
ALIENLMR,B8,O,v3,Alien limb consistent with CBS - right side
DYSTONL,B8,O,v3,"Dystonia consistent with CBS, PSP, or related disorder - left side"
DYSTONR,B8,O,v3,"Dystonia consistent with CBS, PSP, or related disorder - right side"
MYOCLLT,B8,O,v3,Myoclonus consistent with CBS - left side
MYOCLRT,B8,O,v3,Myoclonus consistent with CBS - right side
ALSFIND,B8,O,v3,"Findings suggesting ALS (e.g., muscle wasting, fasciculations, upper motor and/or lower motor neuron signs)"
GAITNPH,B8,O,v3,Normal pressure hydrocephalus - gait apraxia
OTHNEUR,B8,O,v3,"Other findings (e.g., cerebella ataxia, chorea, myoclonus)"
OTHNEURX,B8,O,v3,Other findings (specify)
B9CHG,B9,O,v1,Indicate changes in information reported at previous visit
DECSUB,B9,O,v1-3,Does the subject report a decline in memory (relative to previously attained abilities)?
DECIN,B9,O,v1-3,Does the co-participant report a decline in subject's memory (relative to previously attained abilities)?
DECCLIN,B9,O,v1-2,"Is there a meaningful decline in memory, non-memory cognitive abilities, behavior, ability to manage his/her affairs, or there are motor/movement changes"
DECCLCOG,B9,O,v3,"Is the subject currently experiencing meaningful impairment in cognition?"
COGMEM,B9,O,v1-3,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in memory"
COGORI,B9,O,v3,"Indicate whether the subject is meaningfully impaired, relative to previously attained abilities, in orientation"
COGJUDG,B9,O,v1-3,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in executive function - judgment, planning, or problem-solving"
COGLANG,B9,O,v1-3,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in language"
COGVIS,B9,O,v1-3,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in visuospatial function"
COGATTN,B9,O,v1-3,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in attention or concentration"
COGFLUC,B9,O,v2-3,Indicate whether the subject currently has fluctuating cognition
COGFLAGO,B9,O,v3,At what age did the fluctuating cognition begin?
COGOTHR,B9,O,v1-3,"Indicate whether the subject currently is meaningfully impaired, relative to previously attained abilities, in other cognitive domains"
COGOTHRX,B9,O,v1-3,Specification of other cognitive impairment
NACCCOGF,B9,D,v1-3,Indicate the predominant symptom that was first recognized as a decline in the subject's cognition
NACCCGFX,B9,D,v1-3,Specification for other predominant symptom first recognized as a decline in the subject's cognition
COGMODE,B9,O,v1-3,Mode of onset of cognitive symptoms
COGMODEX,B9,O,v1-3,Specification for other mode of onset of cognitive symptoms
DECAGE,B9,O,v1-3,"At what age did the cognitive decline begin?"
DECCLBE,B9,O,v3,"Is the subject currently experiencing any kind of behavioral symptoms?"
BEAPATHY,B9,O,v1-3,"Subject currently manifests meaningful change in behavior - Apathy, withdrawal"
BEDEP,B9,O,v1-3,Subject currently manifests meaningful change in behavior - Depressed mood
BEVHALL,B9,O,v1-3,Subject currently manifests meaningful change in behavior - Psychosis - Visual hallucinations
BEVWELL,B9,O,v2-3,"If yes, are the hallucinations well-formed and detailed?"
BEVHAGO,B9,O,v3,"If well-formed, clear-cut visual hallucinations, at what age did these hallucinations begin?"
BEAHALL,B9,O,v1-3,Subject currently manifests meaningful change in behavior - Psychosis - Auditory hallucinations
BEDEL,B9,O,v1-3,"Subject currently manifests meaningful change in behavior - Psychosis - Abnormal, false, or delusional beliefs"
